#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             230         1.58403         1.58899     0.000951326
             231         1.58445         1.58897     0.000947411
             232         1.58485         1.58895     0.000943493
             233         1.58523         1.58894     0.000939579
             234         1.58559         1.58892     0.000935673
             235         1.58593         1.58891     0.000931778
             236         1.58624          1.5889     0.000927898
             237         1.58654         1.58889     0.000924037
             238         1.58682         1.58888     0.000920195
             239         1.58708         1.58887     0.000916375
             240         1.58733         1.58887      0.00091258
             241         1.58756         1.58886     0.000908809
             242         1.58777         1.58886     0.000905065
             243         1.58798         1.58885     0.000901348
             244         1.58818         1.58885     0.000897658
             245         1.58837         1.58885     0.000893996
             246         1.58855         1.58885     0.000890363
             247         1.58871         1.58885     0.000886758
             248         1.58887         1.58885     0.000883183
             249         1.58902         1.58885     0.000879636
             250         1.58916         1.58885     0.000876119
             251          1.5893         1.58885      0.00087263
             252         1.58943         1.58885      0.00086917
             253         1.58956         1.58886     0.000865739
             254         1.58967         1.58886     0.000862337
             255         1.58978         1.58886     0.000858962
             256         1.58989         1.58887     0.000855616
             257            1.59         1.58887     0.000852298
             258          1.5901         1.58888     0.000849008
             259          1.5902         1.58888     0.000845746
             260          1.5903         1.58889      0.00084251
             261         1.59039         1.58889     0.000839302
             262         1.59048          1.5889     0.000836121
             263         1.59058         1.58891     0.000832966
             264         1.59068         1.58891     0.000829838
             265         1.59077         1.58892     0.000826736
             266         1.59086         1.58893      0.00082366
             267         1.59096         1.58893      0.00082061
             268         1.59106         1.58894     0.000817587
             269         1.59115         1.58895     0.000814589
             270         1.59125         1.58896     0.000811616
             271         1.59135         1.58897      0.00080867
             272         1.59145         1.58898     0.000805748
             273         1.59156         1.58899     0.000802852
             274         1.59167           1.589     0.000799982
             275         1.59178         1.58901     0.000797137
             276         1.59189         1.58902     0.000794317
             277         1.59201         1.58903     0.000791523
             278         1.59213         1.58904     0.000788754
             279         1.59226         1.58905     0.000786012
             280         1.59239         1.58906     0.000783295
             281         1.59253         1.58907     0.000780604
             282         1.59267         1.58909      0.00077794
             283         1.59282          1.5891     0.000775303
             284         1.59298         1.58911     0.000772694
             285         1.59314         1.58913     0.000770111
             286         1.59331         1.58914     0.000767558
             287          1.5935         1.58916     0.000765033
             288         1.59369         1.58917     0.000762539
             289          1.5939         1.58919     0.000760076
             290         1.59411         1.58921     0.000757644
             291         1.59435         1.58922     0.000755246
             292         1.59459         1.58924     0.000752884
             293         1.59485         1.58926     0.000750558
             294         1.59514         1.58928     0.000748271
             295         1.59543          1.5893     0.000746025
             296         1.59575         1.58932     0.000743822
             297         1.59609         1.58935     0.000741667
             298         1.59645         1.58937     0.000739561
             299         1.59684          1.5894      0.00073751
             300         1.59725         1.58942     0.000735516
             301         1.59769         1.58945     0.000733585
             302         1.59815         1.58948     0.000731722
             303         1.59863         1.58951      0.00072993
             304         1.59914         1.58954     0.000728216
             305         1.59968         1.58957     0.000726587
             306         1.60024         1.58961     0.000725048
             307         1.60082         1.58965     0.000723605
             308         1.60143         1.58968     0.000722266
             309         1.60206         1.58972     0.000721039
             310         1.60272         1.58977     0.000719931
             311          1.6034         1.58981     0.000718949
             312         1.60408         1.58986     0.000718098
             313         1.60477          1.5899     0.000717384
             314         1.60546         1.58995     0.000716809
             315         1.60615            1.59     0.000716375
             316         1.60682         1.59006     0.000716082
             317         1.60747         1.59011     0.000715926
             318         1.60809         1.59017     0.000715903
             319         1.60866         1.59023     0.000716003
             320         1.60918         1.59029     0.000716211
             321         1.60963         1.59035     0.000716511
             322         1.61001         1.59041     0.000716883
             323         1.61029         1.59047     0.000717303
             324         1.61047         1.59053     0.000717741
             325         1.61053         1.59059     0.000718166
             326         1.61046         1.59065     0.000718545
             327         1.61027         1.59071     0.000718846
             328         1.60993         1.59077     0.000719038
             329         1.60944         1.59083     0.000719088
             330          1.6088         1.59088      0.00071897
             331         1.60802         1.59093     0.000718659
             332         1.60709         1.59098     0.000718139
             333         1.60602         1.59103     0.000717401
             334         1.60482         1.59107     0.000716441
             335         1.60351         1.59111     0.000715264
             336         1.60209         1.59114     0.000713883
             337         1.60059         1.59117     0.000712315
             338         1.59902         1.59119     0.000710586
             339         1.59739         1.59121     0.000708725
             340         1.59574         1.59122     0.000706766
             341         1.59407         1.59123     0.000704743
             342         1.59242         1.59123     0.000702691
             343         1.59079         1.59123     0.000700643
             344          1.5892         1.59123     0.000698631
             345         1.58768         1.59122     0.000696682
             346         1.58624          1.5912     0.000694817
             347         1.58489         1.59118     0.000693053
             348         1.58363         1.59116     0.000691402
             349         1.58249         1.59114     0.000689867
             350         1.58146         1.59111      0.00068845
             351         1.58055         1.59108     0.000687146
             352         1.57976         1.59105     0.000685946
             353         1.57909         1.59101     0.000684839
             354         1.57854         1.59098      0.00068381
             355         1.57811         1.59094     0.000682844
             356         1.57779         1.59091     0.000681925
             357         1.57758         1.59087     0.000681035
             358         1.57748         1.59083     0.000680158
             359         1.57748         1.59079     0.000679279
             360         1.57757         1.59076     0.000678385
             361         1.57774         1.59072     0.000677464
             362         1.57798         1.59069     0.000676507
             363         1.57828         1.59065     0.000675506
             364         1.57864         1.59062     0.000674456
             365         1.57905         1.59059     0.000673353
             366         1.57949         1.59056     0.000672195
             367         1.57996         1.59053     0.000670983
             368         1.58046          1.5905     0.000669717
             369         1.58097         1.59047       0.0006684
             370          1.5815         1.59045     0.000667034
             371         1.58202         1.59043     0.000665622
             372         1.58255         1.59041      0.00066417
             373         1.58307         1.59039      0.00066268
             374         1.58358         1.59037     0.000661158
             375         1.58407         1.59035     0.000659608
             376         1.58455         1.59034     0.000658034
             377         1.58501         1.59032     0.000656441
             378         1.58545         1.59031     0.000654831
             379         1.58586          1.5903     0.000653208
             380         1.58625         1.59029     0.000651576
             381         1.58661         1.59028     0.000649937
             382         1.58695         1.59027     0.000648294
             383         1.58727         1.59026     0.000646648
             384         1.58756         1.59025     0.000645003
             385         1.58783         1.59025     0.000643358
             386         1.58807         1.59024     0.000641716
             387         1.58829         1.59024     0.000640078
             388         1.58849         1.59023     0.000638444
             389         1.58866         1.59023     0.000636816
             390         1.58882         1.59022     0.000635193
             391         1.58896         1.59022     0.000633577
             392         1.58908         1.59022     0.000631967
             393         1.58919         1.59022     0.000630364
             394         1.58928         1.59021     0.000628769
             395         1.58936         1.59021     0.000627181
             396         1.58944         1.59021       0.0006256
             397          1.5895         1.59021     0.000624027
             398         1.58956         1.59021     0.000622461
             399         1.58961          1.5902     0.000620903
             400         1.58966          1.5902     0.000619352
             401          1.5897          1.5902     0.000617809
             402         1.58974          1.5902     0.000616273
             403         1.58978          1.5902     0.000614745
             404         1.58982          1.5902     0.000613224
             405         1.58987          1.5902      0.00061171
             406         1.58991          1.5902     0.000610204
             407         1.58995          1.5902     0.000608705
             408            1.59          1.5902     0.000607213
             409         1.59006          1.5902     0.000605729
             410         1.59012          1.5902     0.000604251
             411         1.59019          1.5902     0.000602781
             412         1.59026          1.5902     0.000601318
             413         1.59034          1.5902     0.000599862
             414         1.59042          1.5902     0.000598413
             415          1.5905          1.5902     0.000596972
             416         1.59058          1.5902     0.000595538
             417         1.59068          1.5902      0.00059411
             418         1.59078          1.5902     0.000592691
             419         1.59089          1.5902     0.000591279
             420           1.591          1.5902     0.000589874
             421         1.59111         1.59021     0.000588477
             422         1.59123         1.59021     0.000587087
             423         1.59135         1.59021     0.000585705
             424         1.59149         1.59021     0.000584332
             425         1.59163         1.59022     0.000582966
             426         1.59177         1.59022     0.000581609
             427         1.59191         1.59023     0.000580261
             428         1.59205         1.59023     0.000578921
             429          1.5922         1.59023     0.000577589
             430         1.59234         1.59024     0.000576267
             431         1.59249         1.59024     0.000574953
             432         1.59264         1.59025     0.000573649
             433         1.59278         1.59026     0.000572354
             434         1.59293         1.59026     0.000571069
             435         1.59308         1.59027     0.000569793
             436         1.59322         1.59027     0.000568526
             437         1.59337         1.59028     0.000567269
             438         1.59351         1.59029     0.000566022
             439         1.59365          1.5903     0.000564784
             440         1.59378          1.5903     0.000563556
             441          1.5939         1.59031     0.000562337
             442         1.59403         1.59032     0.000561128
             443         1.59414         1.59033     0.000559927
             444         1.59425         1.59034     0.000558736
             445         1.59435         1.59035     0.000557553
             446         1.59444         1.59036     0.000556378
             447         1.59452         1.59037     0.000555212
             448         1.59459         1.59038     0.000554053
             449         1.59465         1.59039       0.0005529
             450         1.59471         1.59039     0.000551755
             451         1.59476          1.5904     0.000550617
             452          1.5948         1.59041     0.000549484
             453         1.59483         1.59042     0.000548358
             454         1.59485         1.59043     0.000547237
             455         1.59487         1.59044     0.000546121
             456         1.59488         1.59045      0.00054501
             457         1.59489         1.59046     0.000543904
             458         1.59489         1.59047     0.000542802
             459         1.59488         1.59048     0.000541705
             460         1.59488         1.59049     0.000540612
             461         1.59488          1.5905     0.000539523
             462         1.59488         1.59051     0.000538438
             463         1.59488         1.59052     0.000537358
             464         1.59488         1.59053     0.000536282
             465         1.59488         1.59054      0.00053521
             466         1.59488         1.59055     0.000534143
             467         1.59489         1.59056      0.00053308
             468         1.59491         1.59057     0.000532022
             469         1.59493         1.59058     0.000530969
             470         1.59496         1.59059     0.000529921
             471         1.59499         1.59059     0.000528879
             472         1.59503          1.5906     0.000527842
             473         1.59508         1.59061     0.000526811
             474         1.59512         1.59062     0.000525785
             475         1.59517         1.59063     0.000524765
             476         1.59523         1.59064     0.000523752
             477         1.59528         1.59065     0.000522744
             478         1.59534         1.59066     0.000521742
             479         1.59539         1.59067     0.000520747
             480         1.59544         1.59068     0.000519757
             481         1.59549         1.59069     0.000518772
             482         1.59554          1.5907     0.000517793
             483         1.59557         1.59071      0.00051682
             484         1.59561         1.59072     0.000515851
             485         1.59563         1.59073     0.000514887
             486         1.59565         1.59074     0.000513926
             487         1.59566         1.59075      0.00051297
             488         1.59565         1.59076     0.000512017
             489         1.59563         1.59077     0.000511067
             490          1.5956         1.59078     0.000510119
             491         1.59557         1.59079     0.000509174
             492         1.59552          1.5908     0.000508229
             493         1.59546         1.59081     0.000507286
             494         1.59539         1.59082     0.000506344
             495         1.59531         1.59083     0.000505402
             496         1.59522         1.59084     0.000504461
             497         1.59512         1.59085     0.000503519
             498         1.59501         1.59086     0.000502578
             499         1.59489         1.59086     0.000501636
             500         1.59476         1.59087     0.000500693
             501         1.59462         1.59088      0.00049975
             502         1.59448         1.59089     0.000498806
             503         1.59434         1.59089     0.000497861
             504         1.59419          1.5909     0.000496916
             505         1.59403         1.59091     0.000495971
             506         1.59387         1.59091     0.000495026
             507         1.59371         1.59092      0.00049408
             508         1.59355         1.59092     0.000493135
             509         1.59339         1.59093      0.00049219
             510         1.59323         1.59093     0.000491245
             511         1.59307         1.59094     0.000490302
             512         1.59291         1.59094     0.000489359
             513         1.59275         1.59094     0.000488418
             514         1.59259         1.59095     0.000487479
             515         1.59244         1.59095     0.000486541
             516         1.59229         1.59095     0.000485605
             517         1.59215         1.59095     0.000484671
             518         1.59201         1.59096      0.00048374
             519         1.59188         1.59096     0.000482811
             520         1.59175         1.59096     0.000481885
             521         1.59161         1.59096     0.000480961
             522         1.59149         1.59096     0.000480041
             523         1.59137         1.59096     0.000479124
             524         1.59125         1.59096      0.00047821
             525         1.59115         1.59096     0.000477299
             526         1.59104         1.59096     0.000476392
             527         1.59094         1.59096     0.000475488
             528         1.59085         1.59096     0.000474587
             529         1.59075         1.59096      0.00047369
             530         1.59067         1.59096     0.000472797
             531         1.59059         1.59096     0.000471907
             532         1.59051         1.59096     0.000471021
             533         1.59043         1.59096     0.000470138
             534         1.59036         1.59096     0.000469259
             535         1.59029         1.59096     0.000468384
             536         1.59022         1.59096     0.000467512
             537         1.59016         1.59095     0.000466643
             538          1.5901         1.59095     0.000465779
             539         1.59006         1.59095     0.000464918
             540         1.59002         1.59095      0.00046406
             541         1.58998         1.59095     0.000463205
             542         1.58994         1.59095     0.000462355
             543         1.58992         1.59094     0.000461507
             544          1.5899         1.59094     0.000460663
             545         1.58988         1.59094     0.000459822
             546         1.58987         1.59094     0.000458984
             547         1.58987         1.59094     0.000458149
             548         1.58988         1.59093     0.000457317
             549         1.58989         1.59093     0.000456488
             550         1.58992         1.59093     0.000455661
             551         1.58995         1.59093     0.000454838
             552         1.58999         1.59093     0.000454017
             553         1.59004         1.59093     0.000453199
             554         1.59009         1.59092     0.000452383
             555         1.59016         1.59092      0.00045157
             556         1.59023         1.59092      0.00045076
             557         1.59032         1.59092     0.000449952
             558         1.59042         1.59092     0.000449147
             559         1.59051         1.59092     0.000448344
             560         1.59062         1.59092     0.000447543
             561         1.59073         1.59092     0.000446746
             562         1.59086         1.59092     0.000445951
             563         1.59098         1.59092     0.000445159
             564         1.59111         1.59092      0.00044437
             565         1.59125         1.59092     0.000443583
             566         1.59139         1.59092     0.000442801
             567         1.59153         1.59092     0.000442021
             568         1.59166         1.59092     0.000441245
             569         1.59179         1.59092     0.000440472
             570         1.59192         1.59093     0.000439702
             571         1.59205         1.59093     0.000438937
             572         1.59216         1.59093     0.000438175
             573         1.59227         1.59093     0.000437416
             574         1.59237         1.59093     0.000436662
             575         1.59247         1.59094      0.00043591
             576         1.59254         1.59094     0.000435162
             577         1.59261         1.59094     0.000434418
             578         1.59266         1.59095     0.000433676
             579          1.5927         1.59095     0.000432938
             580         1.59273         1.59095     0.000432202
             581         1.59274         1.59095     0.000431469
             582         1.59274         1.59096     0.000430739
             583         1.59272         1.59096     0.000430011
             584         1.59268         1.59096     0.000429284
             585         1.59264         1.59097      0.00042856
             586         1.59259         1.59097     0.000427838
             587         1.59253         1.59097     0.000427117
             588         1.59246         1.59097     0.000426398
             589         1.59238         1.59098     0.000425681
             590         1.59231         1.59098     0.000424966
             591         1.59224         1.59098     0.000424252
             592         1.59217         1.59098      0.00042354
             593          1.5921         1.59099      0.00042283
             594         1.59204         1.59099     0.000422122
             595         1.59199         1.59099     0.000421416
             596         1.59196         1.59099     0.000420712
             597         1.59192         1.59099      0.00042001
             598          1.5919         1.59099      0.00041931
             599          1.5919         1.59099     0.000418613
             600         1.59189           1.591     0.000417918
             601          1.5919           1.591     0.000417225
             602         1.59193           1.591     0.000416535
             603         1.59196           1.591     0.000415847
             604         1.59201           1.591     0.000415162
             605         1.59207           1.591      0.00041448
             606         1.59214         1.59101       0.0004138
             607         1.59222         1.59101     0.000413123
             608         1.59231         1.59101     0.000412449
             609          1.5924         1.59101     0.000411778
             610          1.5925         1.59102     0.000411111
             611          1.5926         1.59102     0.000410446
             612          1.5927         1.59102     0.000409784
             613         1.59281         1.59102     0.000409126
             614         1.59291         1.59103     0.000408472
             615         1.59301         1.59103      0.00040782
             616          1.5931         1.59103     0.000407172
             617         1.59319         1.59104     0.000406527
             618         1.59328         1.59104     0.000405885
             619         1.59336         1.59104     0.000405247
             620         1.59342         1.59105     0.000404611
             621         1.59347         1.59105     0.000403979
             622         1.59351         1.59106     0.000403348
             623         1.59353         1.59106     0.000402721
             624         1.59354         1.59106     0.000402095
             625         1.59353         1.59107     0.000401471
             626         1.59351         1.59107     0.000400848
             627         1.59347         1.59108     0.000400227
             628         1.59341         1.59108     0.000399607
             629         1.59333         1.59108     0.000398988
             630         1.59323         1.59109     0.000398369
             631         1.59312         1.59109     0.000397751
             632         1.59298         1.59109     0.000397133
             633         1.59284         1.59109     0.000396515
             634         1.59268          1.5911     0.000395897
             635         1.59251          1.5911      0.00039528
             636         1.59233          1.5911     0.000394663
