#           BLOCK       VELOCITY:       AVE_POFV:          ERROR:
              10         8.00167               0               0
              10         8.32827               0               0
              10         8.65486               0               0
              10         8.98146               0               0
              10         9.30806               0               0
              10         9.63466               0               0
              11        0.163299               0               0
              11        0.489898       0.0945273      0.00952904
              11        0.816497        0.252187       0.0209732
              11          1.1431         0.37796       0.0188695
              11         1.46969         0.51484       0.0254346
              11         1.79629        0.490814       0.0183627
              11         2.12289         0.38651       0.0178037
              11         2.44949        0.316449       0.0234851
              11         2.77609         0.26895       0.0154083
              11         3.10269        0.160401       0.0158055
              11         3.42929       0.0998327       0.0107607
              11         3.75588       0.0513055      0.00509974
              11         4.08248        0.020665      0.00473271
              11         4.40908      0.00732734      0.00310605
              11         4.73568      0.00208506      0.00118964
              11         5.06228      0.00405542      0.00188422
              11         5.38888     0.000436857     0.000295342
              11         5.71548               0               0
              11         6.04207               0               0
              11         6.36867               0               0
              11         6.69527               0               0
              11         7.02187               0               0
              11         7.34847               0               0
              11         7.67507               0               0
              11         8.00167               0               0
              11         8.32827               0               0
              11         8.65486               0               0
              11         8.98146               0               0
              11         9.30806               0               0
              11         9.63466               0               0
              12        0.163299               0               0
              12        0.489898       0.0922221      0.00900947
              12        0.816497        0.254576        0.019361
              12          1.1431        0.383204       0.0180111
              12         1.46969        0.518374       0.0235593
              12         1.79629        0.493078       0.0169714
              12         2.12289        0.395293       0.0183593
              12         2.44949         0.30953       0.0225241
              12         2.77609        0.266048       0.0143951
              12         3.10269        0.153642       0.0158678
              12         3.42929       0.0969094       0.0102534
              12         3.75588       0.0512059      0.00467574
              12         4.08248       0.0215949      0.00442872
              12         4.40908       0.0069766      0.00286694
              12         4.73568       0.0019113      0.00110312
              12         5.06228      0.00371747      0.00175725
              12         5.38888     0.000400452     0.000272964
              12         5.71548               0               0
              12         6.04207               0               0
              12         6.36867               0               0
              12         6.69527               0               0
              12         7.02187               0               0
              12         7.34847               0               0
              12         7.67507               0               0
              12         8.00167               0               0
              12         8.32827               0               0
              12         8.65486               0               0
              12         8.98146               0               0
              12         9.30806               0               0
              12         9.63466               0               0
              13        0.163299               0               0
              13        0.489898       0.0893229      0.00877052
              13        0.816497        0.256682       0.0179858
              13          1.1431        0.396599       0.0210249
              13         1.46969        0.523946       0.0223963
              13         1.79629        0.494246       0.0157061
              13         2.12289        0.392759       0.0171211
              13         2.44949        0.301973       0.0220229
              13         2.77609        0.259886       0.0145467
              13         3.10269        0.151659       0.0147706
              13         3.42929       0.0961979       0.0094893
              13         3.75588       0.0514018      0.00432017
              13         4.08248        0.022494      0.00417833
              13         4.40908      0.00643994      0.00269617
              13         4.73568      0.00176428      0.00102801
              13         5.06228      0.00343151      0.00164518
              13         5.38888     0.000369648     0.000253699
              13         5.71548               0               0
              13         6.04207               0               0
              13         6.36867               0               0
              13         6.69527               0               0
              13         7.02187               0               0
              13         7.34847               0               0
              13         7.67507               0               0
              13         8.00167               0               0
              13         8.32827               0               0
              13         8.65486               0               0
              13         8.98146               0               0
              13         9.30806               0               0
              13         9.63466               0               0
              14        0.163299               0               0
              14        0.489898       0.0939781       0.0092978
              14        0.816497        0.265099       0.0185666
              14          1.1431        0.400033       0.0198014
              14         1.46969        0.520377        0.021079
              14         1.79629        0.496044       0.0146867
              14         2.12289        0.393844       0.0159325
              14         2.44949         0.29198       0.0226038
              14         2.77609        0.250143       0.0164501
              14         3.10269         0.15293       0.0137701
              14         3.42929       0.0958168      0.00881914
              14         3.75588       0.0554072      0.00556686
              14         4.08248       0.0221266      0.00389599
              14         4.40908      0.00602247       0.0025357
              14         4.73568      0.00200378     0.000982085
              14         5.06228       0.0031864      0.00154582
              14         5.38888     0.000343244     0.000236948
              14         5.71548               0               0
              14         6.04207               0               0
              14         6.36867               0               0
              14         6.69527               0               0
              14         7.02187               0               0
              14         7.34847               0               0
              14         7.67507               0               0
              14         8.00167               0               0
              14         8.32827               0               0
              14         8.65486               0               0
              14         8.98146               0               0
              14         9.30806               0               0
              14         9.63466               0               0
              15        0.163299               0               0
              15        0.489898       0.0980722      0.00953682
              15        0.816497        0.266608         0.01739
              15          1.1431        0.402888       0.0186861
              15         1.46969        0.521939       0.0197315
              15         1.79629        0.492079       0.0142328
              15         2.12289        0.396753       0.0151336
              15         2.44949        0.288065       0.0214331
              15         2.77609        0.242517       0.0170295
              15         3.10269        0.156017       0.0131936
              15         3.42929       0.0948487      0.00828416
              15         3.75588       0.0560359      0.00523112
              15         4.08248       0.0208481      0.00384032
              15         4.40908      0.00596213      0.00236737
              15         4.73568      0.00264983      0.00110894
              15         5.06228      0.00302312      0.00145136
              15         5.38888     0.000320362     0.000222254
              15         5.71548               0               0
              15         6.04207               0               0
              15         6.36867               0               0
              15         6.69527               0               0
              15         7.02187               0               0
              15         7.34847               0               0
              15         7.67507               0               0
              15         8.00167               0               0
              15         8.32827               0               0
              15         8.65486               0               0
              15         8.98146               0               0
              15         9.30806               0               0
              15         9.63466               0               0
              16        0.163299               0               0
              16        0.489898        0.100117      0.00915744
              16        0.816497        0.267279       0.0163161
