# EV_STEP          L_best             <L>
748         5.37821         5.41545
749         5.37821         5.49239
750         5.37821         5.44644
751         5.37821         5.43342
752         5.37821         5.49855
753         5.37821         5.49949
754         5.37821         5.54049
755         5.37821         5.45875
756         5.37821         5.42325
757         5.37821         5.46412
758         5.37821         5.46474
759         5.37821         5.48462
760         5.37821         5.44624
761         5.37821         5.41683
762         5.37821         5.45281
763         5.37821         5.48014
764         5.37821         5.52211
765         5.37821         5.47334
766         5.37821         5.50978
767         5.37821         5.42439
768         5.37821         5.46829
769         5.37821         5.43656
770         5.37821         5.45891
771         5.37821         5.48686
772         5.37821         5.48249
773         5.37821          5.4801
774         5.37821         5.45638
775         5.37821         5.40389
776         5.37821         5.38526
777         5.37821         5.37899
778         5.37821         5.40357
779         5.37821         5.41287
780         5.37821         5.46441
781         5.37821         5.39793
782         5.37821         5.42604
783         5.37821         5.40586
784         5.37821         5.45657
785         5.37821         5.41764
786         5.37821         5.40808
787         5.37821         5.41608
788         5.37821          5.3853
789         5.37821         5.37821
790         5.37821         5.37927
791         5.37821         5.37835
792         5.37821         5.38183
793         5.37821         5.39863
794         5.37821         5.41445
795         5.37821         5.37938
796         5.37821          5.3976
797         5.37821         5.46632
798         5.37821         5.55386
799         5.37821         5.46092
800         5.37821         5.43305
801         5.37821          5.4631
802         5.37821         5.40936
803         5.37821         5.41889
804         5.37821         5.43809
805         5.37821         5.38743
806         5.37821         5.42842
807         5.37821         5.47638
808         5.37821         5.58301
809         5.37821         5.47884
810         5.37821         5.40147
811         5.37821         5.44433
812         5.37821         5.45494
813         5.37821         5.52784
814         5.37821         5.48663
815         5.37821         5.43546
816         5.37821         5.44858
817         5.37821         5.50786
818         5.37821         5.45793
819         5.37821         5.43005
820         5.37821         5.42525
821         5.37821          5.3826
822         5.37821         5.40379
823         5.37821         5.38399
824         5.37821         5.40288
825         5.37821         5.42417
826         5.37821         5.51324
827         5.37821         5.50772
828         5.37821          5.5177
829         5.37821         5.41607
830         5.37821         5.44629
831         5.37821         5.42475
832         5.37821         5.38077
833         5.37821         5.40122
834         5.37821         5.44854
835         5.37821         5.40748
836         5.37821         5.40691
837         5.37821         5.44531
838         5.37821         5.47758
839         5.37821         5.42962
840         5.37821         5.49126
841         5.37821         5.41589
842         5.37821         5.45264
843         5.37821         5.47913
844         5.37821         5.43943
845         5.37821         5.41948
846         5.37821         5.44998
847         5.37821         5.54719
848         5.37821         5.52765
849         5.37821         5.47277
850         5.37821         5.42948
851         5.37821         5.42792
852         5.37821         5.39871
853         5.37821         5.39302
854         5.37821         5.43507
855         5.37821         5.41514
856         5.37821          5.4846
857         5.37821          5.5184
858         5.37821         5.56894
859         5.37821         5.39489
860         5.37821         5.40873
861         5.37821         5.46795
862         5.37821         5.47266
863         5.37821         5.43865
864         5.37821         5.45056
865         5.37821         5.44711
866         5.37821         5.41961
867         5.37821         5.40802
868         5.37821         5.42735
869         5.37821         5.48062
870         5.37821         5.47344
871         5.37821         5.53073
872         5.37821         5.54454
873         5.37821         5.48209
874         5.37821         5.50686
875         5.37821         5.39826
876         5.37821         5.41616
877         5.37821         5.51306
878         5.37821         5.38315
879         5.37821         5.38535
880         5.37821         5.38755
881         5.37821         5.41371
882         5.37821         5.42188
883         5.37821         5.47431
884         5.37821         5.44344
885         5.37821         5.45949
886         5.37821         5.47474
887         5.37821         5.43101
888         5.37821         5.50261
889         5.37821         5.45742
890         5.37821         5.39618
891         5.37821         5.43208
892         5.37821         5.41839
893         5.37821         5.39933
894         5.37821         5.41791
895         5.37821         5.43971
896         5.37821         5.38508
897         5.37821         5.38236
898         5.37821         5.38606
899         5.37821         5.40009
900         5.37821         5.39771
901         5.37821         5.37821
902         5.37821         5.38915
903         5.37821         5.37899
904         5.37821          5.3786
905         5.37821         5.37821
906         5.37821         5.37821
907         5.37821         5.37821
908         5.37821          5.3834
909         5.37821         5.38305
910         5.37821         5.37821
911         5.37821          5.3786
912         5.37821         5.37821
913         5.37821         5.42528
914         5.37821         5.50882
915         5.37821         5.39482
916         5.37821         5.50521
917         5.37821         5.47842
918         5.37821         5.46056
919         5.37821         5.42544
920         5.37821         5.47843
921         5.37821         5.48354
922         5.37821          5.5372
923         5.37821         5.49322
924         5.37821          5.4206
925         5.37821         5.38452
926         5.37821         5.37958
927         5.37821         5.44846
928         5.37821         5.40907
929         5.37821          5.4704
930         5.37821         5.56974
931         5.37821         5.60872
932         5.37821          5.5037
933         5.37821         5.45869
934         5.37821         5.38612
935         5.37821         5.38687
936         5.37821         5.45534
937         5.37821         5.48623
938         5.37821         5.45508
939         5.37821         5.42959
940         5.37821          5.4243
941         5.37821         5.39338
942         5.37821          5.3801
943         5.37821         5.40018
944         5.37821         5.39159
945         5.37821         5.40373
946         5.37821         5.44555
947         5.37821         5.39929
948         5.37821         5.42596
949         5.37821         5.48079
950         5.37821         5.53553
951         5.37821         5.57479
952         5.37821         5.52165
953         5.37821         5.61266
954         5.37821         5.53353
955         5.37821         5.49374
956         5.37821          5.4619
957         5.37821         5.48237
958         5.37821         5.38299
959         5.37821         5.38067
960         5.37821          5.3887
961         5.37821         5.42362
962         5.37821         5.40995
963         5.37821         5.39593
964         5.37821          5.4374
965         5.37821         5.40453
966         5.37821         5.41564
967         5.37821         5.44568
968         5.37821         5.41654
969         5.37821         5.43306
970         5.37821           5.508
971         5.37821          5.4739
972         5.37821         5.53559
973         5.37821         5.51189
974         5.37821         5.50282
975         5.37821         5.45553
976         5.37821         5.43767
977         5.37821         5.40238
978         5.37821         5.45011
979         5.37821         5.43091
980         5.37821         5.46766
981         5.37821         5.48838
982         5.37821         5.43573
983         5.37821          5.5446
984         5.37821         5.56426
985         5.37821         5.60507
986         5.37821         5.52583
987         5.37821         5.44594
988         5.37821         5.39359
989         5.37821         5.41458
990         5.37821         5.38975
991         5.37821         5.38288
992         5.37821          5.3815
993         5.37821         5.38147
994         5.37821         5.38246
995         5.37821         5.37821
996         5.37821          5.3951
997         5.37821          5.4453
998         5.37821         5.46721
999         5.37821         5.45096
