#          BLOCK:       ACTUAL_T:          T_AVE:          ERROR:
             617         1.29597         1.27285     0.000694862
             618         1.29644         1.27289     0.000694785
             619         1.29691         1.27293     0.000694745
             620         1.29738         1.27297     0.000694743
             621         1.29786         1.27301      0.00069478
             622         1.29833         1.27305     0.000694855
             623         1.29881         1.27309     0.000694968
             624         1.29927         1.27313      0.00069512
             625         1.29974         1.27317      0.00069531
             626         1.30019         1.27322     0.000695537
             627         1.30063         1.27326     0.000695801
             628         1.30106         1.27331     0.000696099
             629         1.30147         1.27335     0.000696431
             630         1.30187          1.2734     0.000696795
             631         1.30225         1.27344      0.00069719
             632         1.30261         1.27349     0.000697613
             633         1.30295         1.27353     0.000698062
             634         1.30327         1.27358     0.000698535
             635         1.30357         1.27363      0.00069903
             636         1.30385         1.27368     0.000699544
             637          1.3041         1.27372     0.000700074
             638         1.30432         1.27377     0.000700617
             639         1.30452         1.27382     0.000701171
             640         1.30469         1.27387     0.000701733
             641         1.30483         1.27392     0.000702299
             642         1.30495         1.27396     0.000702866
             643         1.30503         1.27401     0.000703432
             644         1.30509         1.27406     0.000703993
             645         1.30511         1.27411     0.000704546
             646         1.30511         1.27416     0.000705087
             647         1.30507          1.2742     0.000705614
             648         1.30499         1.27425     0.000706123
             649         1.30489          1.2743     0.000706611
             650         1.30475         1.27435     0.000707075
             651         1.30458         1.27439     0.000707512
             652         1.30437         1.27444     0.000707919
             653         1.30412         1.27448     0.000708293
             654         1.30384         1.27453      0.00070863
             655         1.30351         1.27457     0.000708929
             656         1.30315         1.27462     0.000709186
             657         1.30275         1.27466     0.000709398
             658         1.30231          1.2747     0.000709564
             659         1.30183         1.27474      0.00070968
             660          1.3013         1.27478     0.000709745
             661         1.30074         1.27482     0.000709756
             662         1.30012         1.27486     0.000709712
             663         1.29947          1.2749     0.000709611
             664         1.29876         1.27493     0.000709452
             665         1.29801         1.27497     0.000709234
             666         1.29722           1.275     0.000708956
             667         1.29638         1.27503     0.000708617
             668         1.29549         1.27506     0.000708217
             669         1.29456         1.27509     0.000707758
             670         1.29358         1.27512     0.000707239
             671         1.29256         1.27515     0.000706662
             672         1.29149         1.27517     0.000706029
             673         1.29038         1.27519     0.000705341
             674         1.28924         1.27521     0.000704602
             675         1.28806         1.27523     0.000703815
             676         1.28684         1.27525     0.000702984
             677          1.2856         1.27527     0.000702111
             678         1.28433         1.27528     0.000701203
             679         1.28304         1.27529     0.000700263
