#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
             292       -0.558798       -0.567529      0.00213988
             293        -0.56086       -0.567506      0.00213269
             294       -0.562927        -0.56749       0.0021255
             295       -0.564996       -0.567482      0.00211831
             296       -0.567064       -0.567481      0.00211115
             297       -0.569125       -0.567486      0.00210405
             298       -0.571186       -0.567499      0.00209703
             299       -0.573228       -0.567518       0.0020901
             300       -0.575264       -0.567544      0.00208329
             301       -0.577276       -0.567576      0.00207662
             302       -0.579271       -0.567615      0.00207011
             303       -0.581244        -0.56766      0.00206376
             304       -0.583191       -0.567711      0.00205761
             305       -0.585116       -0.567768      0.00205165
             306       -0.587013       -0.567831      0.00204591
             307       -0.588878       -0.567899       0.0020404
             308        -0.59071       -0.567973      0.00203512
             309       -0.592508       -0.568053      0.00203008
             310       -0.594267       -0.568137      0.00202529
             311       -0.595992       -0.568227      0.00202076
             312       -0.597677       -0.568321      0.00201648
             313       -0.599322        -0.56842      0.00201247
             314       -0.600925       -0.568524      0.00200872
             315       -0.602485       -0.568632      0.00200524
             316          -0.604       -0.568743      0.00200201
             317       -0.605472       -0.568859      0.00199905
             318       -0.606892       -0.568979      0.00199634
             319       -0.608268       -0.569102      0.00199387
             320       -0.609594       -0.569229      0.00199165
             321       -0.610872       -0.569358      0.00198967
             322         -0.6121       -0.569491      0.00198791
             323       -0.613273       -0.569627      0.00198637
             324       -0.614397       -0.569765      0.00198504
             325       -0.615473       -0.569905      0.00198391
             326       -0.616497       -0.570048      0.00198297
             327       -0.617471       -0.570193       0.0019822
             328        -0.61839        -0.57034       0.0019816
             329       -0.619261       -0.570489      0.00198114
             330       -0.620088       -0.570639      0.00198083
             331       -0.620857       -0.570791      0.00198065
             332       -0.621573       -0.570944      0.00198058
             333       -0.622246       -0.571098      0.00198062
             334       -0.622865       -0.571253      0.00198074
             335       -0.623437       -0.571409      0.00198094
             336       -0.623959       -0.571565      0.00198121
             337        -0.62443       -0.571722      0.00198153
             338       -0.624858       -0.571879       0.0019819
             339       -0.625238       -0.572037      0.00198229
             340       -0.625574       -0.572194      0.00198271
             341       -0.625862       -0.572352      0.00198313
             342       -0.626112       -0.572509      0.00198355
             343       -0.626316       -0.572666      0.00198396
             344       -0.626481       -0.572822      0.00198435
             345       -0.626601       -0.572978      0.00198471
             346       -0.626677       -0.573133      0.00198504
             347       -0.626715       -0.573288      0.00198531
             348       -0.626717       -0.573441      0.00198554
             349       -0.626679       -0.573594       0.0019857
             350       -0.626603       -0.573745      0.00198579
             351       -0.626492       -0.573895      0.00198581
             352       -0.626346       -0.574044      0.00198575
             353       -0.626171       -0.574192      0.00198561
             354       -0.625952       -0.574338      0.00198538
             355       -0.625696       -0.574483      0.00198505
             356       -0.625411       -0.574626      0.00198462
             357       -0.625092       -0.574767      0.00198409
             358       -0.624741       -0.574907      0.00198345
             359       -0.624351       -0.575045       0.0019827
             360       -0.623936        -0.57518      0.00198184
             361       -0.623484       -0.575314      0.00198086
             362          -0.623       -0.575446      0.00197977
             363       -0.622487       -0.575576      0.00197855
             364       -0.621943       -0.575703      0.00197721
             365       -0.621364       -0.575828      0.00197575
             366       -0.620757       -0.575951      0.00197416
             367       -0.620121       -0.576071      0.00197244
             368       -0.619449       -0.576189       0.0019706
             369       -0.618748       -0.576304      0.00196864
             370       -0.618013       -0.576417      0.00196654
             371       -0.617247       -0.576527      0.00196432
             372       -0.616455       -0.576635      0.00196197
             373       -0.615628       -0.576739      0.00195949
             374       -0.614771       -0.576841      0.00195689
             375       -0.613882        -0.57694      0.00195416
             376       -0.612969       -0.577035      0.00195131
             377       -0.612026       -0.577128      0.00194834
             378       -0.611061       -0.577218      0.00194525
             379       -0.610068       -0.577305      0.00194205
             380        -0.60905       -0.577388      0.00193874
             381       -0.608008       -0.577469      0.00193531
             382       -0.606943       -0.577546      0.00193178
             383       -0.605862        -0.57762      0.00192815
             384       -0.604762        -0.57769      0.00192443
             385       -0.603653       -0.577758      0.00192061
             386       -0.602533       -0.577822      0.00191671
             387       -0.601402       -0.577883      0.00191272
             388       -0.600272       -0.577941      0.00190866
             389       -0.599147       -0.577995      0.00190453
             390       -0.598021       -0.578046      0.00190034
             391       -0.596908       -0.578095       0.0018961
             392       -0.595814        -0.57814       0.0018918
             393       -0.594736       -0.578182      0.00188745
             394        -0.59368       -0.578221      0.00188307
             395       -0.592655       -0.578258      0.00187866
             396       -0.591661       -0.578292      0.00187422
