#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
             426         2.17943         2.17552      0.00174655
             427         2.17927         2.17553      0.00174248
             428         2.17907         2.17553      0.00173843
             429         2.17882         2.17554      0.00173439
             430         2.17851         2.17555      0.00173037
             431         2.17815         2.17555      0.00172637
             432         2.17773         2.17556      0.00172238
             433         2.17725         2.17556       0.0017184
             434         2.17671         2.17557      0.00171445
             435         2.17611         2.17557      0.00171051
             436         2.17546         2.17557      0.00170658
             437         2.17476         2.17557      0.00170268
             438         2.17401         2.17556      0.00169879
             439         2.17321         2.17556      0.00169493
             440         2.17237         2.17555       0.0016911
             441         2.17149         2.17554      0.00168729
             442         2.17058         2.17553      0.00168351
             443         2.16965         2.17552      0.00167976
             444          2.1687          2.1755      0.00167605
             445         2.16775         2.17548      0.00167237
             446         2.16679         2.17546      0.00166873
             447         2.16583         2.17544      0.00166514
             448         2.16489         2.17542      0.00166159
             449         2.16397         2.17539      0.00165808
             450         2.16308         2.17537      0.00165463
             451         2.16222         2.17534      0.00165121
             452          2.1614         2.17531      0.00164785
             453         2.16062         2.17527      0.00164453
             454          2.1599         2.17524      0.00164126
             455         2.15924          2.1752      0.00163803
             456         2.15864         2.17517      0.00163484
             457          2.1581         2.17513      0.00163169
             458         2.15764         2.17509      0.00162857
             459         2.15724         2.17505      0.00162549
             460         2.15692         2.17501      0.00162243
             461         2.15667         2.17497       0.0016194
             462          2.1565         2.17493      0.00161639
             463          2.1564         2.17489      0.00161339
             464         2.15637         2.17485      0.00161041
             465         2.15641         2.17481      0.00160743
             466         2.15651         2.17478      0.00160446
             467         2.15669         2.17474       0.0016015
             468         2.15692          2.1747      0.00159853
             469         2.15722         2.17466      0.00159555
             470         2.15757         2.17462      0.00159257
             471         2.15797         2.17459      0.00158958
             472         2.15842         2.17456      0.00158658
             473         2.15891         2.17452      0.00158357
             474         2.15944         2.17449      0.00158055
             475         2.16001         2.17446      0.00157752
             476         2.16061         2.17443      0.00157447
             477         2.16124          2.1744      0.00157142
             478         2.16189         2.17438      0.00156835
             479         2.16256         2.17435      0.00156527
             480         2.16324         2.17433      0.00156218
             481         2.16394         2.17431      0.00155908
             482         2.16465         2.17429      0.00155597
             483         2.16537         2.17427      0.00155286
             484         2.16609         2.17425      0.00154974
             485         2.16681         2.17424      0.00154662
             486         2.16753         2.17422       0.0015435
             487         2.16825         2.17421      0.00154038
             488         2.16896          2.1742      0.00153726
             489         2.16966         2.17419      0.00153415
             490         2.17035         2.17418      0.00153104
             491         2.17103         2.17418      0.00152793
             492         2.17169         2.17417      0.00152484
             493         2.17234         2.17417      0.00152175
             494         2.17297         2.17417      0.00151867
             495         2.17358         2.17416       0.0015156
             496         2.17417         2.17416      0.00151255
             497         2.17473         2.17417       0.0015095
             498         2.17528         2.17417      0.00150647
             499          2.1758         2.17417      0.00150346
             500         2.17629         2.17417      0.00150046
             501         2.17676         2.17418      0.00149747
             502         2.17721         2.17419       0.0014945
             503         2.17763         2.17419      0.00149154
             504         2.17802          2.1742       0.0014886
             505         2.17838         2.17421      0.00148568
             506         2.17872         2.17422      0.00148277
             507         2.17903         2.17423      0.00147988
             508         2.17931         2.17424        0.001477
             509         2.17957         2.17425      0.00147413
             510          2.1798         2.17426      0.00147128
             511            2.18         2.17427      0.00146845
             512         2.18018         2.17428      0.00146562
             513         2.18034         2.17429      0.00146281
             514         2.18047         2.17431      0.00146002
             515         2.18059         2.17432      0.00145723
             516         2.18068         2.17433      0.00145446
             517         2.18075         2.17434       0.0014517
             518         2.18081         2.17435      0.00144895
             519         2.18085         2.17437      0.00144621
             520         2.18087         2.17438      0.00144349
             521         2.18089         2.17439      0.00144077
             522         2.18089          2.1744      0.00143806
             523         2.18089         2.17442      0.00143537
             524         2.18088         2.17443      0.00143268
             525         2.18087         2.17444         0.00143
             526         2.18085         2.17445      0.00142734
             527         2.18084         2.17447      0.00142468
             528         2.18083         2.17448      0.00142203
             529         2.18082         2.17449       0.0014194
             530         2.18083          2.1745      0.00141677
             531         2.18084         2.17451      0.00141415
             532         2.18086         2.17453      0.00141154
             533          2.1809         2.17454      0.00140895
             534         2.18096         2.17455      0.00140636
             535         2.18103         2.17456      0.00140378
             536         2.18112         2.17457      0.00140122
             537         2.18123         2.17459      0.00139866
             538         2.18136          2.1746      0.00139612
             539         2.18152         2.17461      0.00139359
             540          2.1817         2.17462      0.00139107
             541          2.1819         2.17464      0.00138856
             542         2.18213         2.17465      0.00138607
             543         2.18238         2.17467      0.00138359
             544         2.18266         2.17468      0.00138112
             545         2.18297          2.1747      0.00137867
             546          2.1833         2.17471      0.00137624
             547         2.18365         2.17473      0.00137382
             548         2.18403         2.17475      0.00137142
             549         2.18443         2.17476      0.00136903
             550         2.18485         2.17478      0.00136667
             551          2.1853          2.1748      0.00136432
             552         2.18576         2.17482      0.00136199
             553         2.18625         2.17484      0.00135969
             554         2.18675         2.17486       0.0013574
             555         2.18726         2.17488      0.00135514
             556         2.18779         2.17491       0.0013529
             557         2.18833         2.17493      0.00135069
             558         2.18888         2.17496       0.0013485
             559         2.18943         2.17498      0.00134633
             560            2.19         2.17501       0.0013442
             561         2.19057         2.17504      0.00134209
             562         2.19114         2.17507         0.00134
             563         2.19171          2.1751      0.00133795
             564         2.19228         2.17513      0.00133592
             565         2.19284         2.17516      0.00133393
             566          2.1934         2.17519      0.00133196
             567         2.19396         2.17522      0.00133002
             568         2.19451         2.17526      0.00132811
             569         2.19504         2.17529      0.00132623
             570         2.19557         2.17533      0.00132438
             571         2.19609         2.17536      0.00132256
             572         2.19659          2.1754      0.00132077
             573         2.19707         2.17544      0.00131901
             574         2.19755         2.17548      0.00131727
             575           2.198         2.17552      0.00131556
             576         2.19844         2.17556      0.00131388
             577         2.19886          2.1756      0.00131223
             578         2.19926         2.17564      0.00131059
             579         2.19964         2.17568      0.00130899
             580         2.19999         2.17572       0.0013074
             581         2.20033         2.17576      0.00130584
             582         2.20065         2.17581      0.00130429
             583         2.20095         2.17585      0.00130277
             584         2.20122         2.17589      0.00130126
             585         2.20147         2.17594      0.00129977
             586          2.2017         2.17598       0.0012983
             587         2.20191         2.17602      0.00129684
             588          2.2021         2.17607      0.00129539
             589         2.20226         2.17611      0.00129395
             590          2.2024         2.17616      0.00129253
             591         2.20252          2.1762      0.00129111
             592         2.20262         2.17625       0.0012897
             593          2.2027         2.17629       0.0012883
             594         2.20276         2.17634       0.0012869
             595         2.20279         2.17638       0.0012855
             596         2.20281         2.17642      0.00128411
             597          2.2028         2.17647      0.00128272
             598         2.20278         2.17651      0.00128133
             599         2.20273         2.17656      0.00127994
             600         2.20267          2.1766      0.00127854
             601         2.20259         2.17664      0.00127715
             602         2.20249         2.17669      0.00127575
             603         2.20237         2.17673      0.00127434
             604         2.20224         2.17677      0.00127293
             605         2.20209         2.17681      0.00127152
             606         2.20193         2.17685      0.00127009
             607         2.20175          2.1769      0.00126866
             608         2.20156         2.17694      0.00126722
             609         2.20135         2.17698      0.00126578
             610         2.20114         2.17702      0.00126432
             611          2.2009         2.17705      0.00126286
             612         2.20066         2.17709      0.00126138
             613         2.20041         2.17713       0.0012599
             614         2.20014         2.17717       0.0012584
             615         2.19987         2.17721       0.0012569
