#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             254         1.59876          1.5969     6.69304e-05
             255         1.59866          1.5969     6.70237e-05
             256         1.59855         1.59691     6.70703e-05
             257         1.59844         1.59691     6.70727e-05
             258         1.59832         1.59692     6.70333e-05
             259          1.5982         1.59693     6.69554e-05
             260         1.59807         1.59693     6.68415e-05
             261         1.59793         1.59693      6.6696e-05
             262         1.59779         1.59694     6.65219e-05
             263         1.59765         1.59694     6.63242e-05
             264          1.5975         1.59694     6.61067e-05
             265         1.59735         1.59694     6.58749e-05
             266          1.5972         1.59694     6.56342e-05
             267         1.59705         1.59694     6.53896e-05
             268         1.59691         1.59694     6.51457e-05
             269         1.59675         1.59694     6.49074e-05
             270         1.59661         1.59694     6.46789e-05
             271         1.59646         1.59694     6.44642e-05
             272         1.59632         1.59694     6.42672e-05
             273         1.59619         1.59694     6.40897e-05
             274         1.59607         1.59693      6.3934e-05
             275         1.59595         1.59693      6.3802e-05
             276         1.59583         1.59692     6.36954e-05
             277         1.59572         1.59692     6.36148e-05
             278         1.59561         1.59692     6.35596e-05
             279         1.59552         1.59691     6.35287e-05
             280         1.59543         1.59691     6.35212e-05
             281         1.59535          1.5969     6.35355e-05
             282         1.59527         1.59689     6.35715e-05
             283         1.59521         1.59689      6.3626e-05
             284         1.59514         1.59688     6.36983e-05
             285         1.59509         1.59688     6.37847e-05
             286         1.59504         1.59687     6.38847e-05
             287           1.595         1.59686     6.39942e-05
             288         1.59496         1.59686     6.41112e-05
             289         1.59493         1.59685     6.42352e-05
             290          1.5949         1.59684     6.43633e-05
             291         1.59488         1.59684     6.44928e-05
             292         1.59487         1.59683     6.46235e-05
             293         1.59485         1.59682     6.47539e-05
             294         1.59485         1.59682     6.48816e-05
             295         1.59484         1.59681     6.50052e-05
             296         1.59484          1.5968     6.51237e-05
             297         1.59485          1.5968      6.5235e-05
             298         1.59485         1.59679     6.53407e-05
             299         1.59487         1.59678     6.54377e-05
             300         1.59488         1.59678     6.55275e-05
             301          1.5949         1.59677     6.56072e-05
             302         1.59491         1.59676     6.56772e-05
             303         1.59494         1.59676     6.57371e-05
             304         1.59496         1.59675     6.57858e-05
             305         1.59499         1.59675     6.58245e-05
             306         1.59501         1.59674      6.5853e-05
             307         1.59504         1.59674     6.58705e-05
             308         1.59507         1.59673      6.5877e-05
             309         1.59511         1.59672     6.58725e-05
             310         1.59515         1.59672     6.58564e-05
             311         1.59518         1.59671     6.58294e-05
             312         1.59522         1.59671     6.57918e-05
             313         1.59526         1.59671     6.57436e-05
             314         1.59531          1.5967     6.56852e-05
             315         1.59535          1.5967     6.56167e-05
             316         1.59539         1.59669     6.55385e-05
             317         1.59544         1.59669     6.54514e-05
             318         1.59549         1.59668     6.53547e-05
             319         1.59553         1.59668     6.52495e-05
             320         1.59558         1.59668     6.51359e-05
             321         1.59563         1.59667     6.50146e-05
             322         1.59568         1.59667     6.48859e-05
             323         1.59574         1.59667     6.47496e-05
             324         1.59579         1.59667     6.46067e-05
             325         1.59584         1.59666     6.44578e-05
             326         1.59589         1.59666     6.43036e-05
             327         1.59594         1.59666     6.41445e-05
             328           1.596         1.59666     6.39807e-05
             329         1.59605         1.59665      6.3813e-05
             330         1.59609         1.59665     6.36424e-05
             331         1.59614         1.59665     6.34689e-05
             332         1.59619         1.59665     6.32926e-05
             333         1.59624         1.59665     6.31145e-05
             334         1.59629         1.59665     6.29346e-05
             335         1.59634         1.59665     6.27536e-05
             336         1.59638         1.59665     6.25717e-05
             337         1.59643         1.59665     6.23892e-05
             338         1.59648         1.59664     6.22065e-05
             339         1.59653         1.59664     6.20239e-05
             340         1.59657         1.59664     6.18418e-05
             341         1.59662         1.59664     6.16605e-05
             342         1.59666         1.59664     6.14802e-05
