#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            0.68               8         26.7209         27.7706        0.285353
            0.68               9         27.4402         27.7339        0.255999
            0.68              10         28.2508         27.7856         0.23556
            0.68              11         26.8889         27.7041        0.227813
            0.68              12         26.3864         27.5943        0.233801
            0.68              13         27.1558         27.5605        0.218236
            0.68              14         25.3083         27.3997        0.255142
            0.68              15         29.6249          27.548        0.277932
            0.68              16         28.0968         27.5823        0.262669
            0.68              17         28.1015         27.6129        0.248987
            0.68              18          27.711         27.6183        0.235214
            0.68              19          29.265          27.705        0.238267
            0.68              20         29.9165         27.8156        0.250704
             0.7               1         24.6519         24.6519               0
             0.7               2          25.188           24.92        0.189541
             0.7               3         24.8757         24.9052        0.126935
             0.7               4          23.953         24.6672        0.227075
             0.7               5         22.9246         24.3187        0.360799
             0.7               6         23.7538         24.2245        0.312707
             0.7               7         23.4256         24.1104         0.28811
             0.7               8         24.0475         24.1025        0.252203
             0.7               9         26.0946         24.3239        0.306275
             0.7              10         24.6546         24.3569        0.277428
             0.7              11         24.3624         24.3574        0.252207
             0.7              12         24.7329         24.3887        0.233123
             0.7              13         24.8665         24.4255        0.218068
             0.7              14         25.8021         24.5238        0.223565
             0.7              15         24.5694         24.5268        0.208681
             0.7              16          23.675         24.4736        0.202316
             0.7              17         23.7599         24.4316        0.194721
             0.7              18          23.929         24.4037        0.185895
             0.7              19         23.8281         24.3734        0.178563
             0.7              20         24.4251          24.376        0.169653
            0.72               1         22.9694         22.9694               0
            0.72               2         22.2082         22.5888        0.269154
            0.72               3         24.4836         23.2204        0.546027
            0.72               4         22.5687         23.0575        0.433144
            0.72               5         22.4797         22.9419        0.361602
            0.72               6         20.2714         22.4968        0.505849
            0.72               7         21.3432          22.332        0.459648
            0.72               8          23.703         22.5034        0.432959
            0.72               9         21.9794         22.4452        0.388747
            0.72              10         21.9486         22.3955         0.35303
            0.72              11         22.0154          22.361        0.322623
            0.72              12          21.908         22.3232        0.297938
            0.72              13         21.2165         22.2381        0.286925
            0.72              14         23.9911         22.3633        0.292479
            0.72              15         20.7556         22.2561        0.291958
            0.72              16         23.2852         22.3204        0.280706
            0.72              17         21.0374          22.245        0.274153
            0.72              18         21.7017         22.2148        0.260578
