#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
            0.68               3        0.408503        0.436434       0.0116629
            0.68               4        0.435605        0.436227      0.00874901
            0.68               5        0.428921        0.434766      0.00712017
            0.68               6        0.401414        0.429207      0.00780732
            0.68               7        0.423751        0.428428      0.00673079
            0.68               8        0.417507        0.427063      0.00602628
            0.68               9        0.437257        0.428195      0.00546211
            0.68              10        0.438559        0.429232      0.00501326
            0.68              11        0.448303        0.430965      0.00484803
            0.68              12        0.434751        0.431281      0.00445428
            0.68              13        0.417174        0.430196      0.00424176
            0.68              14        0.410315        0.428776      0.00416972
            0.68              15        0.431022        0.428925      0.00389443
            0.68              16        0.443238         0.42982      0.00375236
            0.68              17        0.448074        0.430894      0.00368206
            0.68              18        0.421918        0.430395      0.00351111
            0.68              19        0.434919        0.430633      0.00333438
            0.68              20         0.44334        0.431269      0.00322762
             0.7               1        0.420356        0.420356               0
             0.7               2        0.441756        0.431056      0.00756604
             0.7               3        0.435358         0.43249      0.00517814
             0.7               4        0.409824        0.426824      0.00625808
             0.7               5          0.4171        0.424879      0.00530001
             0.7               6        0.441398        0.427632      0.00508167
             0.7               7        0.432243        0.428291      0.00439821
             0.7               8        0.435554        0.429199      0.00394101
             0.7               9        0.436701        0.430032      0.00359021
             0.7              10        0.448884        0.431917      0.00369312
             0.7              11        0.425535        0.431337      0.00340266
             0.7              12        0.434948        0.431638      0.00313239
             0.7              13        0.417207        0.430528      0.00308186
             0.7              14        0.436941        0.430986      0.00289557
             0.7              15        0.438109        0.431461      0.00274119
             0.7              16         0.43312        0.431565      0.00257182
             0.7              17        0.432109        0.431597      0.00242074
             0.7              18         0.44153        0.432148      0.00234832
             0.7              19        0.433844        0.432238      0.00222642
             0.7              20        0.434956        0.432374      0.00211924
            0.72               1        0.433339        0.433339               0
            0.72               2        0.433793        0.433566     0.000160467
            0.72               3         0.43793         0.43502       0.0011925
            0.72               4        0.443068        0.437032      0.00195852
            0.72               5         0.45196        0.440018      0.00309601
            0.72               6        0.426044        0.437689      0.00334315
            0.72               7        0.440625        0.438108      0.00289176
            0.72               8        0.438002        0.438095      0.00253032
            0.72               9         0.44171        0.438497      0.00228084
            0.72              10        0.440694        0.438716      0.00206331
            0.72              11        0.434376        0.438322      0.00191309
            0.72              12        0.428066        0.437467      0.00193517
            0.72              13        0.421922        0.436271      0.00212389
            0.72              14         0.44003         0.43654      0.00198908
            0.72              15        0.413202        0.434984      0.00238869
            0.72              16        0.437541        0.435144      0.00224474
            0.72              17        0.423958        0.434486      0.00220703
            0.72              18        0.434033        0.434461      0.00208456
            0.72              19        0.419822         0.43369      0.00211243
            0.72              20        0.433086         0.43366      0.00200702
            0.74               1        0.443335        0.443335               0
            0.74               2        0.426697        0.435016      0.00588218
            0.74               3        0.442089        0.437374      0.00436848
            0.74               4        0.447066        0.439797      0.00389079
            0.74               5         0.42374        0.436585      0.00423542
            0.74               6        0.438301        0.436871      0.00353916
            0.74               7        0.441549         0.43754        0.003096
            0.74               8         0.45371        0.439561      0.00330355
            0.74               9        0.426424        0.438101      0.00324297
            0.74              10        0.443565        0.438648      0.00296434
            0.74              11        0.449115        0.439599      0.00284349
            0.74              12        0.420563        0.438013      0.00301673
            0.74              13        0.444151        0.438485      0.00282138
            0.74              14        0.426655         0.43764      0.00274348
            0.74              15        0.430556        0.437168      0.00260092
            0.74              16        0.418551        0.436004      0.00268604
            0.74              17        0.404152         0.43413      0.00311369
            0.74              18        0.443771        0.434666      0.00298642
            0.74              19        0.425903        0.434205      0.00286463
            0.74              20        0.449889        0.434989       0.0028267
            0.76               1        0.435708        0.435708               0
            0.76               2        0.454145        0.444927      0.00651864
            0.76               3         0.44112        0.443658      0.00446757
            0.76               4        0.436437        0.441852      0.00369747
            0.76               5        0.442638         0.44201      0.00296131
            0.76               6        0.432019        0.440344      0.00289836
            0.76               7        0.419823        0.437413      0.00367943
            0.76               8         0.45159        0.439185       0.0036212
            0.76               9        0.454267        0.440861      0.00358569
            0.76              10        0.433207        0.440095      0.00330781
            0.76              11        0.442671         0.44033      0.00301537
            0.76              12        0.436841        0.440039      0.00277807
            0.76              13         0.44878        0.440711      0.00264449
            0.76              14        0.452005        0.441518       0.0025757
            0.76              15        0.432597        0.440923      0.00247169
            0.76              16        0.425726        0.439973      0.00249303
            0.76              17        0.436001         0.43974      0.00235731
            0.76              18        0.425109        0.438927      0.00236232
            0.76              19        0.430483        0.438483      0.00227941
            0.76              20        0.429589        0.438038      0.00220839
            0.78               1        0.444708        0.444708               0
            0.78               2        0.447343        0.446025     0.000931679
            0.78               3        0.456174        0.449408      0.00283106
            0.78               4        0.446339        0.448641      0.00222487
            0.78               5        0.441017        0.447116      0.00224231
            0.78               6        0.431588        0.444528      0.00301218
            0.78               7        0.439415        0.443798      0.00266898
            0.78               8        0.434913        0.442687      0.00255597
            0.78               9        0.454791        0.444032      0.00260185
            0.78              10        0.438143        0.443443      0.00240739
            0.78              11        0.429205        0.442149      0.00251254
            0.78              12        0.434598        0.441519      0.00238065
            0.78              13        0.435542         0.44106      0.00224148
            0.78              14        0.445808        0.441399      0.00210688
            0.78              15        0.445945        0.441702       0.0019881
            0.78              16        0.438792         0.44152      0.00187215
            0.78              17        0.436968        0.441252      0.00178107
            0.78              18        0.440777        0.441226      0.00168232
            0.78              19        0.443909        0.441367      0.00159969
            0.78              20        0.441969        0.441397      0.00151999
             0.8               1        0.449966        0.449966               0
             0.8               2        0.433361        0.441663      0.00587059
             0.8               3        0.441521        0.441616      0.00391392
             0.8               4        0.438951         0.44095      0.00299159
             0.8               5        0.434539        0.439667      0.00265382
             0.8               6        0.426008        0.437391      0.00303474
             0.8               7        0.428784        0.436161      0.00283941
             0.8               8        0.449979        0.437889      0.00296364
             0.8               9        0.450741        0.439317      0.00295848
             0.8              10        0.439205        0.439305      0.00266266
             0.8              11        0.431934        0.438635       0.0025035
             0.8              12        0.437437        0.438536      0.00229687
             0.8              13        0.433583        0.438155      0.00215155
             0.8              14        0.439353         0.43824      0.00199957
             0.8              15        0.457931        0.439553      0.00225637
             0.8              16        0.434301        0.439225      0.00213909
             0.8              17        0.436272        0.439051       0.0020203
             0.8              18        0.440737        0.439145      0.00191023
             0.8              19        0.446797        0.439547      0.00185167
             0.8              20        0.433185        0.439229       0.0017862
            0.82               1         0.42593         0.42593               0
            0.82               2        0.449252        0.437591      0.00824557
            0.82               3         0.43834         0.43784      0.00550083
            0.82               4        0.432516        0.436509      0.00428362
            0.82               5        0.434823        0.436172      0.00344015
            0.82               6        0.439785        0.436774      0.00291902
            0.82               7        0.423331        0.434854      0.00306946
            0.82               8        0.442848        0.435853      0.00284379
            0.82               9        0.432775        0.435511       0.0025483
            0.82              10        0.445888        0.436549      0.00249584
            0.82              11        0.428998        0.435862      0.00236147
            0.82              12        0.435603        0.435841      0.00216478
            0.82              13         0.44573        0.436601      0.00212772
            0.82              14        0.441825        0.436974      0.00200819
            0.82              15        0.438508        0.437077      0.00187691
            0.82              16        0.444452        0.437538      0.00181532
            0.82              17        0.448726        0.438196      0.00182395
            0.82              18        0.442333        0.438426      0.00173704
            0.82              19        0.438186        0.438413      0.00164566
            0.82              20        0.466194        0.439802      0.00206812
            0.84               1        0.451094        0.451094               0
