#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.78              18        0.320187        0.318907      0.00494847
            0.78              19        0.289448        0.317357      0.00492494
            0.78              20        0.341592        0.318569      0.00482547
             0.8               1        0.320513        0.320513               0
             0.8               2        0.321281        0.320897     0.000271411
             0.8               3        0.274576        0.305457       0.0126084
             0.8               4        0.320856        0.309306       0.0100269
             0.8               5        0.313153        0.310076      0.00805095
             0.8               6        0.270242        0.303437      0.00904114
             0.8               7        0.251504        0.296018       0.0103554
             0.8               8         0.29655        0.296084      0.00906117
             0.8               9        0.310049        0.297636      0.00818614
             0.8              10        0.312644        0.299137      0.00750385
             0.8              11        0.284593        0.297815      0.00693718
             0.8              12        0.307557        0.298626      0.00640642
             0.8              13        0.264396        0.295993      0.00643202
             0.8              14        0.290615        0.295609      0.00598405
             0.8              15        0.291251        0.295319      0.00559216
             0.8              16        0.295897        0.295355      0.00524277
             0.8              17        0.289062        0.294985      0.00494742
             0.8              18         0.29199        0.294818      0.00467536
             0.8              19        0.259814        0.292976       0.0047785
             0.8              20        0.284842        0.292569      0.00455685
            0.82               1        0.265824        0.265824               0
            0.82               2        0.279196         0.27251      0.00472782
            0.82               3        0.262942        0.269321      0.00408846
            0.82               4        0.275109        0.270768      0.00331256
            0.82               5        0.289412        0.274497       0.0042598
            0.82               6        0.228644        0.266855      0.00782757
            0.82               7        0.279019        0.268592      0.00689953
            0.82               8        0.280328        0.270059      0.00619108
            0.82               9        0.284559         0.27167      0.00570895
            0.82              10        0.295103        0.274014      0.00559835
            0.82              11        0.279283        0.274493      0.00510987
            0.82              12        0.261118        0.273378      0.00480406
            0.82              13        0.302993        0.275656      0.00494525
            0.82              14        0.302098        0.277545      0.00493954
            0.82              15        0.251234        0.275791      0.00491182
            0.82              16        0.274002        0.275679      0.00460611
            0.82              17        0.269422        0.275311      0.00434984
            0.82              18         0.29939        0.276649      0.00430896
            0.82              19         0.27382          0.2765      0.00408475
            0.82              20        0.255912         0.27547      0.00400812
            0.84               1        0.260117        0.260117               0
            0.84               2        0.250874        0.255495      0.00326781
            0.84               3        0.183239         0.23141        0.019786
            0.84               4        0.263782        0.239503       0.0164114
            0.84               5        0.217119        0.235026       0.0137262
            0.84               6        0.244882        0.236669       0.0115363
            0.84               7        0.276971        0.242426       0.0112335
            0.84               8        0.224482        0.240183       0.0100508
            0.84               9        0.249259        0.241192      0.00898444
            0.84              10        0.271241        0.244196      0.00857381
