#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.68              15        0.467927        0.482559      0.00439401
            0.68              16        0.532305        0.485668      0.00510213
            0.68              17         0.48381        0.485559      0.00480317
            0.68              18        0.499043        0.486308      0.00459437
            0.68              19        0.506916        0.487392      0.00447876
            0.68              20         0.41554          0.4838      0.00551045
             0.7               1        0.431482        0.431482               0
             0.7               2        0.437141        0.434311       0.0020005
             0.7               3        0.432964        0.433862      0.00138314
             0.7               4        0.430371         0.43299      0.00128356
             0.7               5         0.41084         0.42856      0.00409321
             0.7               6        0.476441         0.43654      0.00804391
             0.7               7        0.451943         0.43874      0.00718947
             0.7               8        0.468338         0.44244      0.00717991
             0.7               9         0.40967        0.438799      0.00724681
             0.7              10        0.444596        0.439379      0.00654527
             0.7              11        0.487425        0.443746      0.00726287
             0.7              12        0.447354        0.444047      0.00666385
             0.7              13        0.429644        0.442939      0.00624267
             0.7              14        0.412533        0.440767      0.00616299
             0.7              15        0.450386        0.441409      0.00578539
             0.7              16        0.429032        0.440635      0.00547527
             0.7              17        0.439236        0.440553      0.00515381
             0.7              18        0.462677        0.441782      0.00501192
             0.7              19        0.463814        0.442941      0.00488044
             0.7              20        0.424949        0.442042       0.0047186
            0.72               1         0.38738         0.38738               0
            0.72               2        0.391508        0.389444       0.0014598
            0.72               3        0.408383        0.395757      0.00524562
            0.72               4         0.38565         0.39323      0.00450186
            0.72               5        0.377009        0.389986      0.00462498
            0.72               6        0.413603        0.393922      0.00526933
            0.72               7        0.421556         0.39787      0.00581015
            0.72               8        0.397097        0.397773      0.00508468
            0.72               9        0.391164        0.397039      0.00457245
            0.72              10        0.399926        0.397328      0.00412431
            0.72              11        0.399294        0.397506      0.00375324
            0.72              12        0.390051        0.396885      0.00349151
            0.72              13        0.379733        0.395566      0.00346327
            0.72              14        0.421527         0.39742      0.00367901
            0.72              15        0.432454        0.399756      0.00410874
            0.72              16        0.418573        0.400932      0.00401674
            0.72              17         0.41788        0.401929      0.00390223
            0.72              18        0.389276        0.401226      0.00374821
            0.72              19        0.412149        0.401801      0.00359476
            0.72              20        0.392274        0.401324      0.00344643
            0.74               1        0.362612        0.362612               0
            0.74               2        0.344193        0.353402      0.00651226
            0.74               3        0.382013        0.362939       0.0089154
            0.74               4        0.394545        0.370841      0.00956729
            0.74               5        0.391792        0.375031      0.00852216
            0.74               6        0.367184        0.373723      0.00720146
            0.74               7        0.357922        0.371466      0.00651683
            0.74               8        0.344473        0.368092      0.00651745
            0.74               9        0.385125        0.369984      0.00606185
            0.74              10        0.372526        0.370238      0.00546099
            0.74              11        0.361678         0.36946      0.00501968
            0.74              12        0.389058        0.371093      0.00485979
            0.74              13        0.361269        0.370338      0.00454434
            0.74              14        0.384227         0.37133      0.00432669
            0.74              15        0.394235        0.372857      0.00429926
            0.74              16        0.392194        0.374065        0.004197
            0.74              17        0.352575        0.372801      0.00413611
            0.74              18        0.404162        0.374543       0.0042575
            0.74              19        0.363813        0.373979       0.0040707
            0.74              20        0.336708        0.372115      0.00427248
            0.76               1        0.327653        0.327653               0
            0.76               2        0.340381        0.334017      0.00450015
            0.76               3        0.326398        0.331477        0.003647
            0.76               4        0.332513        0.331736      0.00274443
            0.76               5        0.334098        0.332209      0.00223582
            0.76               6        0.363037        0.337347      0.00504695
            0.76               7        0.356916        0.340142      0.00504113
            0.76               8        0.353954        0.341869      0.00469734
            0.76               9         0.32889        0.340427      0.00439119
            0.76              10        0.310391        0.337423      0.00487219
            0.76              11        0.324027        0.336205      0.00457892
            0.76              12         0.33409        0.336029      0.00420074
            0.76              13        0.344565        0.336686      0.00392859
            0.76              14        0.338239        0.336797      0.00364954
            0.76              15        0.354167        0.337955      0.00358526
            0.76              16        0.357474        0.339175      0.00356269
            0.76              17        0.311445        0.337543      0.00370777
            0.76              18        0.361841        0.338893      0.00373943
            0.76              19        0.326879        0.338261      0.00359569
            0.76              20        0.341558        0.338426      0.00341968
            0.78               1        0.319208        0.319208               0
            0.78               2        0.301721        0.310464       0.0061823
            0.78               3        0.275924        0.298951       0.0102645
            0.78               4        0.309949        0.301701      0.00805825
            0.78               5        0.313031        0.303967      0.00675774
            0.78               6        0.322588         0.30707      0.00630398
            0.78               7        0.308717        0.307306      0.00540779
            0.78               8        0.341425         0.31157      0.00618916
            0.78               9        0.297672        0.310026      0.00569087
            0.78              10        0.301648        0.309188      0.00518309
            0.78              11        0.293921          0.3078      0.00489421
            0.78              12        0.312513        0.308193      0.00450209
            0.78              13        0.319731        0.309081      0.00424236
            0.78              14         0.30572        0.308841      0.00394612
            0.78              15        0.340484         0.31095      0.00420933
            0.78              16        0.299181        0.310215         0.00401
            0.78              17        0.329468        0.311347       0.0039308
            0.78              18        0.294342        0.310402      0.00382427
            0.78              19        0.331086        0.311491      0.00377475
            0.78              20        0.296347        0.310734      0.00366117
             0.8               1        0.287294        0.287294               0
             0.8               2         0.28419        0.285742      0.00109744
             0.8               3        0.309317          0.2936      0.00645798
             0.8               4        0.283087        0.290972      0.00535171
             0.8               5        0.292404        0.291258      0.00428902
             0.8               6        0.305009         0.29355      0.00414149
             0.8               7        0.289174        0.292925      0.00359671
             0.8               8        0.299499        0.293747      0.00323965
             0.8               9        0.291807        0.293531      0.00288684
