#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
             0.7              15         26.0298          24.599        0.191556
             0.7              16         24.7461         24.6082        0.179804
             0.7              17         24.6588         24.6112        0.169252
             0.7              18         25.0917         24.6379         0.16194
             0.7              19         25.3177         24.6737         0.15732
             0.7              20         25.1862         24.6993        0.151527
            0.72               1         23.0259         23.0259               0
            0.72               2         23.6386         23.3322        0.216628
            0.72               3         22.0412         22.9019        0.379903
            0.72               4         20.3511         22.2642        0.621422
            0.72               5         23.3123         22.4738        0.531317
            0.72               6         21.6872         22.3427        0.458654
            0.72               7         23.4669         22.5033        0.420309
            0.72               8         23.0505         22.5717        0.373294
            0.72               9         20.7617         22.3706         0.38217
            0.72              10         21.2674         22.2603        0.359523
            0.72              11         22.2481         22.2592        0.326841
            0.72              12         21.2556         22.1755        0.310118
            0.72              13         23.2375         22.2572        0.296826
            0.72              14         22.9761         22.3086        0.280031
            0.72              15         22.7649          22.339        0.263009
            0.72              16         22.2833         22.3355        0.246594
            0.72              17         23.1708         22.3847        0.236933
            0.72              18         21.1435         22.3157        0.233588
            0.72              19           21.99         22.2986        0.221922
            0.72              20         21.9217         22.2797        0.211624
            0.74               1          20.681          20.681               0
            0.74               2         20.2954         20.4882        0.136337
            0.74               3         19.9683         20.3149        0.168192
            0.74               4         20.1478         20.2731        0.131231
            0.74               5          20.268         20.2721        0.104989
            0.74               6         19.6087         20.1615        0.133568
            0.74               7         18.8152         19.9692        0.211695
            0.74               8         20.6362         20.0526        0.200982
            0.74               9         20.9031         20.1471        0.199637
            0.74              10         19.9419         20.1266        0.180724
            0.74              11         20.2782         20.1403         0.16482
            0.74              12         19.9935         20.1281        0.151539
            0.74              13         19.7003         20.0952         0.14341
            0.74              14         20.1566         20.0996        0.133234
            0.74              15         20.6254         20.1346         0.12888
            0.74              16         19.4502         20.0919        0.127727
            0.74              17         19.5581         20.0605        0.124013
            0.74              18         20.0022         20.0572        0.117166
            0.74              19         19.8295         20.0452        0.111611
            0.74              20         19.6581         20.0259        0.107696
            0.76               1         18.5068         18.5068               0
            0.76               2         17.8249         18.1658        0.241081
            0.76               3         18.9256         18.4191        0.261901
            0.76               4         18.4078         18.4163        0.196441
            0.76               5         18.4775         18.4285        0.157534
            0.76               6         18.6948         18.4729        0.137388
            0.76               7         17.4248         18.3232        0.181886
            0.76               8         18.3223         18.3231         0.15915
            0.76               9         18.2757         18.3178        0.141554
            0.76              10         17.6167         18.2477        0.143718
            0.76              11         19.0189         18.3178        0.146761
            0.76              12         18.4842         18.3317        0.135185
            0.76              13         18.1325         18.3163        0.125651
            0.76              14         18.5779          18.335        0.118057
            0.76              15         18.4234         18.3409        0.110334
            0.76              16         17.7205         18.3021        0.110041
            0.76              17         17.9495         18.2814        0.105505
            0.76              18         18.4543          18.291         0.10008
            0.76              19         18.4209         18.2978       0.0950457
            0.76              20         17.8339         18.2747       0.0930809
            0.78               1         17.8246         17.8246               0
            0.78               2          16.599         17.2118        0.433325
            0.78               3         16.7461         17.0566        0.315466
            0.78               4         16.9953         17.0413        0.236971
            0.78               5         16.3802          16.909        0.223439
            0.78               6         16.8318         16.8962        0.186569
            0.78               7         17.3262         16.9576        0.169728
            0.78               8         16.3117         16.8769         0.16661
            0.78               9          17.021         16.8929        0.148865
            0.78              10         16.2511         16.8287        0.147163
            0.78              11         16.5971         16.8076        0.135283
            0.78              12         16.8104         16.8079        0.124009
            0.78              13         17.4889         16.8603        0.125047
            0.78              14          17.624         16.9148        0.127462
            0.78              15         17.0093         16.9211         0.11912
            0.78              16          16.294         16.8819        0.117946
            0.78              17         16.2175         16.8428        0.117305
            0.78              18         16.5644         16.8274        0.111803
            0.78              19         17.0493          16.839        0.106528
            0.78              20         16.1777          16.806         0.10621
             0.8               1         15.8654         15.8654               0
             0.8               2         14.6975         15.2814        0.412915
             0.8               3         15.4768         15.3466        0.280362
             0.8               4         14.2195         15.0648        0.322118
             0.8               5         16.2193         15.2957        0.330245
             0.8               6         15.5723         15.3418        0.278404
             0.8               7         15.7515         15.4003        0.244706
             0.8               8          15.795         15.4497        0.219035
             0.8               9         15.7618         15.4843        0.197425
             0.8              10         14.2099         15.3569        0.214917
             0.8              11         15.8881         15.4052        0.200732
             0.8              12         16.1938         15.4709        0.194464
             0.8              13         14.9675         15.4322         0.18332
             0.8              14         14.9288         15.3962        0.173717
             0.8              15         14.3386         15.3257        0.175863
             0.8              16          14.953         15.3024        0.166407
             0.8              17         15.0174         15.2856        0.157461
             0.8              18         15.3829          15.291        0.148806
             0.8              19          15.613          15.308        0.141935
             0.8              20         15.8191         15.3335         0.13712
            0.82               1         14.4657         14.4657               0
            0.82               2         14.0591         14.2624        0.143735
            0.82               3         14.0474         14.1908        0.112276
            0.82               4         14.4542         14.2566        0.101702
            0.82               5         14.7656         14.3584        0.122105
            0.82               6         14.4218          14.369        0.102209
            0.82               7         13.5321         14.2494        0.141155
            0.82               8         13.5672         14.1641        0.147028
            0.82               9         13.7795         14.1214        0.136762
            0.82              10         13.6987         14.0791        0.129453
            0.82              11         13.7371          14.048        0.121362
            0.82              12         13.5078          14.003        0.119308
            0.82              13         13.8328         13.9899        0.110847
            0.82              14         14.5123         14.0272        0.109027
            0.82              15         14.0188         14.0267         0.10176
            0.82              16         14.0941         14.0309       0.0954874
            0.82              17         14.2851         14.0458       0.0910335
            0.82              18          13.744         14.0291       0.0875072
            0.82              19         13.3978         13.9958       0.0889861
            0.82              20         13.2908         13.9606       0.0912522
            0.84               1         12.9702         12.9702               0
            0.84               2         12.4864         12.7283        0.171019
            0.84               3         12.5602         12.6723         0.12285
            0.84               4         12.5083         12.6313       0.0987381
            0.84               5         13.1858         12.7422        0.126808
            0.84               6         13.7089         12.9033        0.181103
            0.84               7         13.3192         12.9627        0.164687
            0.84               8          12.738         12.9346        0.146476
            0.84               9         13.0297         12.9452        0.130581
            0.84              10         12.8498         12.9356        0.117871
            0.84              11         12.5608         12.9016        0.111973
            0.84              12         12.1415         12.8382        0.119219
            0.84              13         12.9318         12.8454        0.110265
            0.84              14         13.0545         12.8604        0.103396
            0.84              15         12.9909         12.8691        0.096868
            0.84              16         13.2821         12.8949       0.0941905
            0.84              17         12.1933         12.8536       0.0972722
            0.84              18         13.0791         12.8661       0.0926713
            0.84              19         12.6845         12.8566       0.0882857
            0.84              20         13.4117         12.8843       0.0881267
            0.86               1         11.9937         11.9937               0
            0.86               2         11.7039         11.8488        0.102469
            0.86               3         11.9666          11.888       0.0754599
            0.86               4         12.1022         11.9416       0.0731595
            0.86               5         11.2284         11.7989        0.140366
            0.86               6         11.8565         11.8085        0.117299
            0.86               7         11.9635         11.8307         0.10261
            0.86               8         12.2385         11.8816         0.10166
            0.86               9         11.6571         11.8567       0.0933765
            0.86              10         12.1016         11.8812        0.087192
            0.86              11         11.4608          11.843       0.0872397
            0.86              12         11.2981         11.7976       0.0910237
            0.86              13         11.6631         11.7872        0.084607
            0.86              14         12.1024         11.8097       0.0815042
            0.86              15         11.7584         11.8063       0.0761424
            0.86              16         11.9546         11.8156       0.0719454
            0.86              17         12.2562         11.8415       0.0722322
