#T:     ACCEPTANCE:
0.94        0.204836
0.94        0.204737
0.94        0.204884
0.94        0.204817
0.94        0.204723
0.94        0.204679
0.96         0.21331
0.96        0.213711
0.96        0.213998
0.96        0.214754
0.96        0.214654
0.96        0.214443
0.96        0.214277
0.96        0.214261
0.96        0.214055
0.96        0.214021
0.96        0.214072
0.96        0.214094
0.96        0.214109
0.96        0.214192
0.96        0.214151
0.96        0.214091
0.96        0.214083
0.96        0.214107
0.96        0.214117
0.96        0.214092
0.98        0.221421
0.98        0.222304
0.98        0.222585
0.98        0.222797
0.98        0.222576
0.98        0.222461
0.98        0.222307
0.98        0.222388
0.98        0.222545
0.98        0.222546
0.98        0.222729
0.98        0.222751
0.98        0.222767
0.98        0.222812
0.98        0.222636
0.98         0.22273
0.98        0.222899
0.98        0.222873
0.98        0.222853
0.98        0.222909
1        0.230985
1        0.230749
1        0.230833
1        0.231421
1        0.231395
1        0.231184
1        0.231026
1        0.231061
1        0.231121
1        0.231045
1        0.231077
1        0.230966
1        0.231025
1        0.231074
1        0.231094
1        0.231213
1        0.231191
1        0.231222
1        0.231168
1        0.231252
1.02        0.240532
1.02        0.240211
1.02        0.239914
1.02        0.239971
1.02        0.239955
1.02        0.239712
1.02         0.23979
1.02         0.23994
1.02        0.240106
1.02        0.240269
1.02         0.24022
1.02         0.24008
1.02        0.240038
1.02        0.240018
1.02        0.239924
1.02        0.239819
1.02        0.239825
1.02        0.239797
1.02        0.239778
1.02        0.239746
1.04        0.247761
1.04        0.247217
1.04        0.247665
1.04        0.247444
1.04        0.247699
1.04         0.24791
1.04        0.247669
1.04        0.247826
1.04        0.247896
1.04        0.248002
1.04        0.248151
1.04        0.248205
1.04        0.248264
1.04         0.24832
1.04        0.248297
1.04        0.248276
1.04        0.248165
1.04        0.248181
1.04        0.248192
1.04        0.248199
1.06        0.256779
1.06        0.257333
1.06          0.2582
1.06         0.25757
1.06        0.257124
1.06        0.257248
1.06        0.256815
1.06        0.256757
1.06        0.256752
1.06        0.256786
1.06        0.256696
1.06        0.256734
1.06        0.256703
1.06        0.256572
1.06        0.256606
1.06        0.256651
1.06        0.256588
1.06          0.2566
1.06        0.256616
1.06        0.256631
1.08         0.26218
1.08        0.263243
1.08        0.263876
1.08        0.264309
1.08        0.264374
1.08        0.264683
1.08        0.264708
1.08        0.264799
